Date,Symbol,Exchange,Action,Quantity,Price,Fees,Bonus/Split Extra Units,Linked Account,Asset Type,Notes
2026-03-07,WIPRO,NSE,BUY,9,2210,10,,Zerodha,Stock,BUY order #39
2026-03-09,HINDUNILVR,NSE,DIVIDEND,0,0,0,,Upstox,Stock,Dividend received for HINDUNILVR
2026-03-11,RELIANCE,NSE,BUY,1,500,0,,Zerodha,Stock,BUY order #41
2026-03-13,TCS,NSE,BUY,2,545,1,,Upstox,Stock,BUY order #42
2026-03-15,AXIS_BLUECHIP_FUND,NSE,BUY,22,80,1,,Zerodha,Mutual Fund,BUY order #43
2026-03-17,HDFCBANK,NSE,BUY,4,635,1,,Upstox,Stock,BUY order #44
2026-03-19,ICICIBANK,NSE,SELL,5,680,2,,Zerodha,Stock,SELL order #45
2026-03-21,SBIN,NSE,BUY,6,725,2,,Upstox,Stock,BUY order #46
2026-03-23,ITC,NSE,BUY,7,770,3,,Zerodha,Stock,BUY order #47
2026-03-25,LT,NSE,BUY,8,815,3,,Upstox,Stock,BUY order #48
2026-03-27,AXIS_BLUECHIP_FUND,NSE,BUY,13,95,1,,Zerodha,Mutual Fund,BUY order #49
2026-03-29,HINDUNILVR,NSE,BUY,10,905,5,,Upstox,Stock,BUY order #50
2026-03-31,RELIANCE,NSE,BUY,1,950,0,,Zerodha,Stock,BUY order #51
2026-04-02,TCS,NSE,BUY,2,995,1,,Upstox,Stock,BUY order #52
2026-04-04,INFY,NSE,BUY,3,1040,2,,Zerodha,Stock,BUY order #53
2026-04-06,HDFCBANK,NSE,SELL,4,1085,2,,Upstox,Stock,SELL order #54
2026-04-08,AXIS_BLUECHIP_FUND,NSE,BUY,19,110,1,,Zerodha,Mutual Fund,BUY order #55
2026-04-10,SBIN,NSE,BUY,6,1175,4,,Upstox,Stock,BUY order #56
2026-04-12,ITC,NSE,BUY,7,1220,4,,Zerodha,Stock,BUY order #57
2026-04-14,LT,NSE,BUY,8,1265,5,,Upstox,Stock,BUY order #58
2026-04-16,WIPRO,NSE,BUY,9,1310,6,,Zerodha,Stock,BUY order #59
2026-04-18,HINDUNILVR,NSE,DIVIDEND,0,0,0,,Upstox,Stock,Dividend received for HINDUNILVR
2026-04-20,AXIS_BLUECHIP_FUND,NSE,BUY,10,50,0,,Zerodha,Mutual Fund,BUY order #61
2026-04-22,TCS,NSE,BUY,2,1445,1,,Upstox,Stock,BUY order #62
2026-04-24,INFY,NSE,SELL,3,1490,2,,Zerodha,Stock,SELL order #63
2026-04-26,HDFCBANK,NSE,BUY,4,1535,3,,Upstox,Stock,BUY order #64
2026-04-28,ICICIBANK,NSE,BUY,5,1580,4,,Zerodha,Stock,BUY order #65
2026-04-30,SBIN,NSE,BUY,6,1625,5,,Upstox,Stock,BUY order #66
2026-05-02,AXIS_BLUECHIP_FUND,NSE,BUY,16,65,1,,Zerodha,Mutual Fund,BUY order #67
2026-05-04,LT,NSE,BUY,8,1715,7,,Upstox,Stock,BUY order #68
2026-05-06,WIPRO,NSE,BUY,9,1760,8,,Zerodha,Stock,BUY order #69
2026-05-08,HINDUNILVR,NSE,BUY,10,1805,9,,Upstox,Stock,BUY order #70
2026-05-10,RELIANCE,NSE,BUY,1,1850,1,,Zerodha,Stock,BUY order #71
2026-05-12,TCS,NSE,SELL,2,1895,2,,Upstox,Stock,SELL order #72
2026-05-14,AXIS_BLUECHIP_FUND,NSE,BUY,22,80,1,,Zerodha,Mutual Fund,BUY order #73
2026-05-16,HDFCBANK,NSE,BUY,4,1985,4,,Upstox,Stock,BUY order #74
2026-05-18,ICICIBANK,NSE,BUY,5,2030,5,,Zerodha,Stock,BUY order #75
2026-05-20,SBIN,NSE,BUY,6,2075,6,,Upstox,Stock,BUY order #76
2026-05-22,ITC,NSE,BUY,7,2120,7,,Zerodha,Stock,BUY order #77
2026-05-24,LT,NSE,BUY,8,2165,9,,Upstox,Stock,BUY order #78
2026-05-26,AXIS_BLUECHIP_FUND,NSE,BUY,13,95,1,,Zerodha,Mutual Fund,BUY order #79
2026-05-28,HINDUNILVR,NSE,DIVIDEND,0,0,0,,Upstox,Stock,Dividend received for HINDUNILVR
2026-05-30,RELIANCE,NSE,SELL,1,500,0,,Zerodha,Stock,SELL order #81
2026-06-01,TCS,NSE,BUY,2,545,1,,Upstox,Stock,BUY order #82
2026-06-03,INFY,NSE,BUY,3,590,1,,Zerodha,Stock,BUY order #83
2026-06-05,HDFCBANK,NSE,BUY,4,635,1,,Upstox,Stock,BUY order #84
2026-06-07,AXIS_BLUECHIP_FUND,NSE,BUY,19,110,1,,Zerodha,Mutual Fund,BUY order #85
2026-06-09,SBIN,NSE,BUY,6,725,2,,Upstox,Stock,BUY order #86
2026-06-11,ITC,NSE,BUY,7,770,3,,Zerodha,Stock,BUY order #87
2026-06-13,LT,NSE,BUY,8,815,3,,Upstox,Stock,BUY order #88
2026-06-15,WIPRO,NSE,BUY,9,860,4,,Zerodha,Stock,BUY order #89
2026-06-17,HINDUNILVR,NSE,SELL,10,905,5,,Upstox,Stock,SELL order #90
2026-06-19,AXIS_BLUECHIP_FUND,NSE,BUY,10,50,0,,Zerodha,Mutual Fund,BUY order #91
2026-06-21,TCS,NSE,BUY,2,995,1,,Upstox,Stock,BUY order #92
2026-06-23,INFY,NSE,BUY,3,1040,2,,Zerodha,Stock,BUY order #93
2026-06-25,HDFCBANK,NSE,BUY,4,1085,2,,Upstox,Stock,BUY order #94
2026-06-27,ICICIBANK,NSE,BUY,5,1130,3,,Zerodha,Stock,BUY order #95
2026-06-29,SBIN,NSE,BUY,6,1175,4,,Upstox,Stock,BUY order #96
2026-07-01,AXIS_BLUECHIP_FUND,NSE,BUY,16,65,1,,Zerodha,Mutual Fund,BUY order #97
2026-07-03,LT,NSE,BUY,8,1265,5,,Upstox,Stock,BUY order #98
2026-07-05,WIPRO,NSE,SELL,9,1310,6,,Zerodha,Stock,SELL order #99
2026-07-07,HINDUNILVR,NSE,DIVIDEND,0,0,0,,Upstox,Stock,Dividend received for HINDUNILVR
